x,y
2.436978,4.079199
2.084764,4.069772
1.799717,3.934549
2.163974,3.922189
1.669037,4.830372
1.929388,5.220816
2.009211,5.093547
1.881014,5.003201
2.022164,5.049464
1.765107,4.803170
2.133987,4.873735
1.937918,4.652745
2.032524,4.945552
1.846268,5.149914
1.959202,5.935406
1.962594,6.198799
2.013028,5.972195
2.142156,6.080621
1.946069,6.036418
2.031518,5.999263
1.590256,6.062114
2.081863,5.961037
1.947223,6.050158
1.563171,6.124491
1.616452,7.162586
1.879579,6.518298
2.030893,6.993411
2.091873,7.176380
1.869654,6.919401
2.018773,7.021672
1.796385,7.080217
2.113188,6.899486
2.058263,7.115495
1.626723,7.127408
1.797849,8.064953
2.186626,8.093786
1.948662,7.829744
1.977364,7.793579
1.986344,7.929396
2.224069,7.782733
2.326593,8.162341
2.364669,7.943810
1.944022,8.071019
1.927547,8.018232
2.049160,8.884690
2.141008,9.196908
1.942766,8.841709
1.960628,8.835617
1.794343,8.856416
1.737743,8.978171
1.869778,8.779696
2.104368,8.972685
1.842953,9.053697
2.029010,9.056816
2.128203,10.119584
1.832602,10.147532
1.724554,10.457023
1.779355,10.025515
2.118983,9.861804
1.819612,9.747307
1.970974,9.914555
2.045985,10.175437
1.857401,9.898359
2.066686,9.952302
3.222027,1.046699
3.079240,0.778598
2.915152,0.708758
3.101073,1.157721
2.922038,0.948588
3.134679,1.231930
3.055132,0.863591
2.954347,0.839797
3.208541,0.997113
3.015420,0.933307
3.181611,1.940369
3.101003,2.135340
3.013957,2.001783
3.009173,1.622367
3.238750,1.986064
3.421148,2.079208
3.139487,2.180849
2.946510,1.971986
2.996722,1.975869
3.164584,2.069535
3.023503,2.631003
3.144690,3.116659
3.096532,2.882630
2.977890,2.955036
2.935148,2.757088
3.037978,2.974066
2.920784,2.778549
3.058068,2.624469
3.228059,2.931032
2.959842,3.260257
2.981922,3.982096
2.998108,4.119565
2.891665,3.837870
3.058945,3.944103
3.150549,3.992369
3.117664,3.989883
3.058726,4.081314
2.923043,3.985812
3.139960,3.827007
2.930383,4.151846
3.107572,5.066115
2.706218,4.853967
3.055948,5.053343
3.241419,4.805250
3.149774,5.048952
3.062179,4.889329
3.076066,4.766152
2.844799,4.985446
2.551467,4.881064
2.961099,5.087220
2.764094,5.837904
2.653802,6.268343
2.906173,6.114392
2.707214,6.102182
2.798422,6.156571
3.020197,5.803794
3.036845,5.888426
3.125948,6.224009
3.347411,6.190777
2.907818,5.969735
3.241020,7.315020
3.256983,6.751413
3.056191,6.651147
3.226051,7.074168
3.075152,6.849528
3.133940,6.974691
2.886238,6.991133
3.208031,7.011529
2.807675,6.960429
3.074902,6.948547
2.977421,8.173914
3.109592,7.729852
3.045858,7.906801
3.258369,8.043389
3.051132,7.864492
2.765015,8.020235
2.912067,7.768309
3.004566,8.180293
2.910077,7.967374
2.937845,7.974825
2.795102,8.825053
3.079930,8.993505
2.961046,9.011339
2.709153,9.074307
2.907218,9.148704
3.079656,9.015876
3.324447,8.897258
3.380371,9.115439
3.080062,9.053715
2.968501,9.081262
3.105421,10.016563
2.797602,10.012333
2.805554,10.170955
3.429226,9.628074
3.109916,10.054427
2.948422,9.883985
2.513762,10.177512
2.620690,9.989226
3.311336,9.928055
3.005238,10.232053
4.086477,0.985708
3.842693,0.796564
4.223862,0.840936
4.165146,1.201767
3.714582,0.910129
4.164827,0.987338
4.128204,1.150020
4.011384,0.685366
3.948902,1.168447
4.067822,1.015621
3.974269,2.073684
3.977794,1.979608
4.218787,1.777615
3.687560,2.201997
4.241914,1.889453
4.257781,1.674666
4.093042,1.944933
3.849335,1.697297
3.905580,1.923327
4.114456,1.938350
4.111285,3.146450
3.781688,3.505775
3.724998,3.060825
3.897183,2.821171
4.168446,3.014346
4.113600,3.229567
3.781886,3.072717
4.147161,3.111252
4.016341,2.785586
4.199844,3.287554
3.814407,4.136193
3.901120,4.077301
4.147839,4.037834
4.187844,4.037343
4.105241,3.995492
4.002848,4.082180
4.016294,4.121894
4.166990,3.850597
3.958247,3.850663
4.232481,3.966089
3.863481,4.886487
4.181214,4.814660
4.271684,5.349605
3.894152,5.051330
4.115512,4.740484
3.960697,5.144204
3.962753,4.964932
4.064783,4.910427
3.862352,5.025982
4.054734,4.849801
3.768468,5.999281
3.736198,5.741564
3.873106,6.083932
4.031683,6.068158
3.807729,5.911971
4.077555,5.906171
4.083890,6.043428
3.764714,5.991995
3.873476,5.749229
4.131272,6.106867
4.089025,7.169465
3.861589,7.005248
3.967317,7.256068
4.375574,7.052670
4.045491,6.998616
4.013522,6.822036
4.032540,7.127091
4.263066,6.821552
4.084513,7.167461
4.106532,7.014332
3.970937,7.753653
3.948105,7.756938
4.012454,7.966130
4.056210,7.859544
3.782422,8.147508
4.080672,7.805167
3.982913,8.196464
4.172690,8.105755
4.047292,7.774329
4.061876,8.072145
4.189190,9.126580
3.840975,9.309590
4.343128,8.771564
4.029897,8.805791
4.130418,9.200432
4.275087,9.131267
3.783226,9.041182
3.939836,8.795588
3.935022,9.138154
3.988984,8.739394
3.869204,10.117787
4.031297,9.740007
3.914107,10.025270
4.019266,9.977868
4.188753,10.090908
4.129072,9.918931
4.158219,10.036657
4.147776,9.785266
3.900615,9.932525
4.167859,10.052572
5.383473,1.171924
4.888304,1.049771
4.875676,1.130555
5.106359,1.021709
5.357394,0.719805
4.889432,1.068606
4.622597,0.852185
4.726330,0.883724
4.915515,1.195108
5.211998,0.964764
4.897624,1.826213
5.089379,2.012734
5.028727,2.055692
5.006126,1.750346
5.207941,2.367320
4.885929,2.114558
5.025839,2.084083
4.752303,2.121193
4.721351,1.938079
5.027437,1.901957
4.625630,3.051764
5.048409,3.034222
5.062741,2.962513
5.187683,3.205332
5.070908,3.239888
4.806194,2.637242
5.189593,2.872928
4.898905,2.791578
4.988497,2.997166
4.840950,2.789494
5.113917,3.854835
5.065410,3.758832
4.852947,4.032617
4.810424,3.707259
5.056525,4.198723
4.910664,4.035035
4.935377,4.025739
4.909319,4.148106
5.131200,4.128598
4.833177,4.058146
4.899571,5.253141
4.656221,5.098400
4.942188,4.954738
5.207655,4.845065
5.136088,5.152503
4.885778,5.429680
4.965571,4.798271
5.107182,4.890067
4.982227,5.102731
5.310524,5.275910
4.979873,5.914134
4.910961,6.067218
4.787473,5.835679
5.125352,6.202013
4.819638,6.000042
5.064771,6.031529
5.254488,5.895044
5.110769,5.887413
4.852028,6.058785
5.029687,5.880249
4.929742,7.085408
4.833364,7.396916
4.892876,6.799091
5.053411,7.113979
5.061161,6.925372
4.857496,7.147165
4.918790,6.834435
5.010225,7.011430
5.147062,6.940128
5.093305,6.988718
4.623983,8.005671
5.011765,8.082111
5.174032,7.899429
4.961545,7.837437
4.663941,7.877537
4.981700,7.915852
5.065106,7.894239
5.029184,8.044943
5.069418,7.736236
4.987735,8.002507
4.984198,9.225249
5.099756,8.928042
5.067997,9.032834
4.995534,9.108927
5.010722,8.766651
5.250365,8.931322
4.763541,9.006459
4.985109,9.091603
4.829742,8.840318
5.116353,8.943649
4.995335,9.977217
4.960920,9.932108
4.957538,9.891854
5.112138,9.636402
5.104474,10.094366
5.042114,9.980707
4.965143,10.077907
5.389667,9.693931
4.978237,10.009973
5.116271,10.177848
5.965592,0.970679
6.086397,0.953847
5.935261,0.830757
6.076940,1.143258
6.199072,1.148809
5.729672,1.096591
6.057836,1.040651
6.080133,1.072158
6.002607,1.156274
5.965154,0.818479
5.735559,1.957690
6.155435,2.022251
5.812751,2.457555
6.174309,1.837976
6.204972,1.856329
6.192197,1.986653
6.122186,2.028656
6.139209,1.748085
5.622508,2.085585
5.955376,2.213172
6.082512,2.958693
6.156168,2.918873
6.206279,3.048099
5.960148,3.072871
6.219607,3.002057
5.786088,2.988564
5.999078,2.812418
5.994570,3.009649
6.011197,2.708079
5.782821,3.196037
5.726208,3.831940
6.129477,4.166701
5.931784,4.004582
6.101379,3.962617
6.164098,4.375842
5.827859,3.854627
6.038394,4.104777
6.049822,4.092468
6.201605,4.080502
6.056042,3.981296
5.829765,5.247429
5.914806,4.893796
5.841585,5.129481
6.046277,5.209139
6.221544,4.947988
5.765387,4.691444
5.875978,4.851046
6.256185,4.688920
6.030164,4.852176
5.584615,5.135744
5.746418,5.785020
5.828552,5.761534
6.076216,5.931031
5.994300,6.316241
6.259061,5.921317
6.097358,6.090558
6.113105,5.867072
6.299921,5.872054
6.025305,6.141286
5.804640,5.976529
5.962073,6.864718
6.026847,7.178819
6.071212,6.995833
5.996243,7.205178
6.202319,7.179676
6.119881,6.846618
6.161236,6.928983
6.088671,6.811175
6.071450,7.405182
6.040293,6.924049
5.650572,8.156689
6.141678,7.717840
5.697628,7.991695
5.960397,8.014245
6.035773,8.050930
6.021124,8.153396
5.984283,7.887099
6.164972,8.273010
6.069985,8.085231
5.929407,7.765490
6.031606,9.042082
6.078012,9.279328
6.103566,9.094294
6.103311,9.157166
6.117186,8.793460
6.117159,8.876291
6.358944,9.150446
6.023705,9.163415
6.108148,8.840971
5.891079,8.799495
5.991749,10.124911
5.967095,10.031215
5.859030,10.139632
6.121279,9.990688
5.869025,9.880757
5.932261,9.874595
5.916454,9.969041
6.055628,9.969693
5.820151,10.096325
5.849913,10.026316
6.815478,1.229161
7.197518,1.136600
6.886473,0.608379
6.988671,0.961564
7.214299,1.074923
6.898311,1.016357
6.836685,1.036144
6.957363,1.251477
6.979918,0.824648
6.637999,0.924555
6.794555,1.980960
7.226976,1.974906
6.932759,1.924588
7.124742,1.937353
7.025804,2.015118
6.878222,2.150953
6.941279,2.087054
6.854658,2.133323
7.130653,2.197790
7.011781,2.035968
7.018785,2.900906
7.220916,2.671727
6.793116,2.824084
6.813037,3.097959
6.726602,3.248293
6.916648,2.774793
7.136548,2.815890
7.069673,2.883548
7.141580,2.841407
7.024875,3.089357
6.862508,4.311563
7.080205,4.243551
6.935765,3.965757
6.944432,3.883377
6.808499,4.165183
6.933853,4.229142
6.703538,4.103902
7.157101,4.165618
7.134362,4.105602
7.146076,4.287738
7.245359,4.935636
6.801114,5.264992
7.104727,4.930694
7.025424,4.812636
6.961554,4.739182
6.894873,5.002526
6.969792,5.106865
7.197026,5.137640
7.211346,5.094662
6.850123,5.141800
7.022220,5.971303
7.081445,6.144040
7.229995,5.661908
7.051989,6.037492
7.397010,5.842190
7.162106,6.082610
6.851260,5.869980
6.919801,5.811326
6.795851,6.068680
6.894572,6.058265
7.265847,6.998383
7.083448,7.098181
7.048284,7.432903
6.965985,6.733955
7.054508,6.906146
6.946983,6.939614
7.276886,7.080873
6.954225,6.892641
6.922241,7.043153
6.694969,7.006966
6.984335,7.947811
7.301863,7.984291
7.100041,8.010139
7.059531,7.870101
7.003280,8.050701
7.162647,8.161804
6.600049,8.274726
7.145433,7.869175
7.081691,8.055509
6.951978,8.136088
7.174771,9.023664
6.941127,9.029031
6.871554,9.198400
6.961170,9.315135
7.243637,9.216389
6.821925,8.810157
6.711706,8.906822
6.896739,9.061551
7.292324,8.961318
7.202521,8.906907
7.001537,10.103965
6.919356,9.975013
6.856062,10.123968
6.938137,10.050941
7.066035,9.947847
6.953729,10.120990
6.901494,10.156363
6.932262,10.132523
7.109860,10.060319
7.000681,9.977927
8.123712,1.066664
7.846121,0.922838
7.554033,0.998907
8.128483,0.906025
8.334420,1.122495
8.003488,0.979629
7.907255,0.564852
8.198288,1.174196
8.115785,0.663385
7.867681,0.925223
7.742076,1.983504
8.262805,2.202005
8.155923,1.863389
8.148168,1.942051
7.816859,2.203274
8.037645,1.861373
7.975949,1.931767
8.107268,2.004229
8.066621,1.976244
8.184045,1.903457
8.252099,3.012877
7.879657,3.000284
7.913805,3.213933
8.281086,3.306497
8.054864,2.812049
7.874328,2.966023
8.109958,2.892466
8.041987,2.967553
8.139327,3.178222
7.925445,2.978532
8.128313,3.852667
7.942641,4.058334
7.838007,3.556402
8.148432,4.060613
7.771432,3.835324
7.963171,3.887981
8.008611,4.379589
8.222541,3.920395
7.916103,4.276193
7.973109,3.878109
8.088599,4.841014
7.612274,4.614088
8.131824,5.030073
7.932087,4.920456
7.998274,5.209468
7.957414,5.246607
7.824153,5.189504
7.970721,4.769904
7.759564,5.004286
7.920374,4.738016
8.066855,6.052791
8.070487,5.690478
8.077960,6.176220
8.047000,6.146088
8.177260,5.899705
8.145474,6.106336
7.945174,6.002869
8.131917,6.039777
8.207321,5.712458
7.998635,6.165102
8.289009,6.787072
8.017436,7.097325
8.036325,6.812512
8.075157,7.282416
7.995019,7.111221
8.193669,6.989269
7.714973,6.973759
7.796895,6.928604
7.974519,7.067496
7.916390,7.101629
7.906903,8.009880
8.192554,7.906804
8.252760,8.065966
8.238518,7.700582
7.989862,7.881978
7.747711,8.163274
8.319029,8.074300
8.157059,8.128665
8.034798,7.762460
8.024936,7.847596
8.047700,8.966177
8.218232,9.485352
8.037635,9.013171
8.082340,9.316769
8.183572,8.677161
7.650209,8.891171
7.925836,8.943668
8.164343,9.026905
7.751467,9.286792
8.054152,8.896207
8.231990,10.129650
8.138488,10.065457
8.031440,9.808698
8.157415,9.962944
7.793911,9.808630
7.946941,10.128406
7.946527,10.033382
8.013125,10.122837
8.189512,9.801236
8.007690,10.020981
9.116598,0.982468
9.016405,0.993880
9.137214,0.968113
9.111569,1.052113
9.074052,1.254444
9.224261,1.002819
8.973796,1.152363
9.212639,1.013640
8.978655,1.058517
8.807543,0.933747
9.165503,2.065532
8.972534,2.099944
9.298673,2.334600
9.004170,1.971135
9.181710,2.137666
9.002484,1.933834
9.152363,2.094618
8.438792,2.137510
9.285847,1.830985
9.006429,1.830925
8.990413,3.265403
8.685854,3.303738
8.714810,3.066263
9.212414,2.861483
9.029886,2.856199
9.048247,2.922794
8.774023,2.932959
9.065128,2.786718
9.010930,3.063829
8.942794,2.973412
9.164410,3.988223
9.263673,4.119955
9.088452,4.001557
8.798358,3.812794
8.895642,4.221382
8.789870,3.619628
9.264422,4.005727
9.025885,3.886277
9.316144,4.086715
9.128437,3.620340
9.083161,4.588800
8.949900,4.945148
8.809324,5.026932
8.882004,4.915342
9.033075,4.789164
8.867510,4.860445
9.110635,4.996452
9.065025,4.989272
8.905985,5.020193
8.894105,5.154095
8.849218,6.090656
9.172254,5.843276
8.871496,5.776748
9.046527,5.877849
8.870775,5.981046
9.279288,6.083964
9.194258,6.150456
8.955954,6.037054
9.055619,6.263000
8.962997,6.025563
9.003894,6.737307
8.921910,7.059886
9.220939,7.253455
9.069698,7.198141
9.396785,6.997666
9.117216,7.074192
9.163318,7.145249
8.938336,7.133441
8.815991,6.867345
8.782601,6.646809
8.955112,8.036940
9.003168,8.036826
8.972926,7.937476
8.781157,8.062352
8.667283,8.094251
8.936203,7.958806
9.076615,8.193060
9.032012,8.226699
9.027915,8.216788
9.195061,8.009880
9.023300,9.251270
8.763135,9.262103
8.922731,8.883453
9.064060,9.005149
8.951734,8.964009
8.955788,8.689646
9.124064,9.218107
9.013207,8.912744
9.170056,9.062209
8.788104,8.925820
8.952133,10.036620
8.955989,9.928469
9.156674,10.225062
9.020534,9.917008
8.990355,9.890060
9.129449,9.701907
9.107775,10.123472
8.967629,10.060089
9.134246,9.998451
9.067067,9.714912
10.266119,0.768960
9.976154,1.068501
9.868047,1.054241
9.785765,1.158101
9.928223,0.812605
9.918591,0.764370
9.919778,0.831767
10.101775,1.006725
9.988809,0.777230
10.312076,1.195495
9.844582,2.069727
9.807946,1.890867
10.343571,2.148104
9.860587,1.895151
9.972816,2.047957
10.081937,2.010789
10.156895,2.006416
9.879493,2.076210
10.081595,2.060621
10.133866,1.558958
10.017175,3.175349
9.889627,2.799998
10.175742,2.908215
9.970926,2.748023
9.608357,2.796986
10.077751,3.018897
10.060006,2.862775
10.046709,3.050726
10.180024,2.811276
10.041663,3.074202
10.095686,4.019294
9.945212,4.190955
9.801778,4.118889
9.958405,3.789105
10.042997,3.858854
10.142230,4.035495
9.954591,4.195220
10.041638,3.893552
9.894558,3.968048
9.921086,3.990017
10.015032,4.745906
10.090893,5.488716
10.129186,4.894996
10.206386,4.977987
9.916654,5.141997
10.111689,5.005771
9.925064,4.737600
10.205451,5.100757
9.890113,4.893613
10.106861,4.911025
10.160329,6.301359
10.089400,6.317225
10.274133,6.137399
10.025907,6.176785
9.714155,5.680746
10.178789,5.701963
9.956044,5.872694
9.990154,6.314687
10.021051,6.000374
9.827244,5.860789
9.677631,7.207846
9.837858,6.817796
10.284243,6.779429
10.195013,7.337689
10.231094,7.021366
9.905416,6.985961
9.893249,6.894812
10.215378,7.216037
9.868622,6.921835
10.090496,6.763747
10.192513,8.169391
9.922785,7.891253
10.266521,7.763087
10.010201,7.865518
10.102159,7.911473
10.177299,8.048624
9.819421,8.074267
10.013079,7.908480
10.175968,7.922381
9.963984,8.009038
10.140348,9.372783
10.087332,9.167307
9.922537,8.710900
10.257563,9.287797
10.118656,9.109100
9.891663,8.915262
10.232958,9.030482
10.023846,9.013685
9.986346,9.060129
9.874097,9.064857
9.685461,9.808889
10.190553,10.150171
9.870611,9.885556
10.321645,9.737884
10.020719,9.979568
9.909360,10.114969
10.199701,10.258542
9.762992,10.083114
10.048140,9.956101
10.026099,10.317533
